Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Package ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate,Featured Product ID,Price Experiment ID,Sales Channel
GPA.3336-7119-2034-92498,2026-01-01,1767272621,Charged,akita,Vehicle Pack 1 (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,vehicles5_20,GBP,7.07,1.42,8.49,,,,GB,legacy-base,,,,,,,,,In-app
GPA.3362-9676-5223-81894,2026-01-01,1767272673,Charged,akita,Premium Pack (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,premium_20,GBP,29.57,5.92,35.49,,,,GB,legacy-base,,,,,,,,,In-app
GPA.3301-7991-4391-70555,2026-01-01,1767309910,Charged,HNCLK-Q,Unlock Vehicles (Cargo Delivery Truck Games 3D),com.DutyToCraftGames.OffroadMulti.CargoTruck,One-time product,unlock_cars_9,USD,12.46,0.00,12.46,Punta Cana,,23000,DO,legacy-base,,,,,,,,,In-app
GPA.3307-5527-4911-90070,2026-01-02,1767350473,Refund,komodo,Unlock Chapter 1 (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,chapter1_20,USD,1.63,-0.29,-1.92,"Nansana, Wakiso District, Kampala",,,UG,legacy-base,,,,,,,,,In-app
GPA.3336-3434-4394-30785,2026-01-02,1767374645,Charged,a15,Premium Pack (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,premium_20,ZAR,617.38,92.61,709.99,Johannesburg,,1431,ZA,legacy-base,,,,,,,,,In-app
GPA.3353-4764-5208-67700,2026-01-02,1767374818,Charged,a15,Get 50000 Coins (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,coins50k_20,ZAR,86.95,13.04,99.99,Johannesburg,,1431,ZA,legacy-base,,,,,,,,,In-app
GPA.3370-2944-8598-10852,2026-01-02,1767374944,Charged,a15,Get 50000 Coins (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,coins50k_20,ZAR,86.95,13.04,99.99,Johannesburg,,1431,ZA,legacy-base,,,,,,,,,In-app
GPA.3301-7991-4391-70555,2026-01-03,1767442778,Refund,HNCLK-Q,Unlock Vehicles (Cargo Delivery Truck Games 3D),com.DutyToCraftGames.OffroadMulti.CargoTruck,One-time product,unlock_cars_9,USD,12.46,0.00,-12.46,Punta Cana,,23000,DO,legacy-base,,,,,,,,,In-app
GPA.3365-1182-7546-11186,2026-01-03,1767474766,Charged,Infinix-X6532,Remove Ads (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,removeads_20,TRY,99.99,20.00,119.99,,,,TR,legacy-base,,,,,,,,,In-app
GPA.3336-7119-2034-92498,2026-01-04,1767532422,Refund,akita,Vehicle Pack 1 (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,vehicles5_20,GBP,7.07,-1.42,-8.49,,,,GB,legacy-base,,,,,,,,,In-app
GPA.3377-6939-8538-96789,2026-01-06,1767677313,Charged,e3q,Remove Ads (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,removeads_20,INR,245.76,44.24,290.00,Bulandshahr,Uttar Pradesh,203405,IN,legacy-base,,,,,,,,,In-app
GPA.3325-7176-0546-80596,2026-01-06,1767739659,Refund,2059,Premium Pack (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,premium_20,AED,138.09,-6.90,-144.99,,إمارة دبيّ,,AE,legacy-base,,,,,,,,,In-app
GPA.3364-7767-7665-91864,2026-01-08,1767910665,Charged,pa1q,Unlock Chapter 1 (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,chapter1_20,CAD,2.69,0.13,2.82,Edmonton,AB,T6V 1S5,CA,legacy-base,,,,,,,,,In-app
GPA.3339-6981-3991-14508,2026-01-10,1768070635,Charged,gts10fewifi,Remove Ads (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,removeads_20,GBP,2.24,0.45,2.69,,,,GB,legacy-base,,,,,,,,,In-app
GPA.3391-5078-2705-42839,2026-01-10,1768073058,Charged,TB328FU,Get 100000 Coins (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,coins100k_20,GBP,6.24,1.25,7.49,,,,GB,legacy-base,,,,,,,,,In-app
GPA.3364-7767-7665-91864,2026-01-11,1768170466,Refund,pa1q,Unlock Chapter 1 (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,chapter1_20,CAD,2.69,-0.13,-2.82,Edmonton,AB,T6V 1S5,CA,legacy-base,,,,,,,,,In-app
GPA.3370-3379-6055-79514,2026-01-12,1768242007,Charged,TB328FU,Get 50000 Coins (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,coins50k_20,GBP,4.16,0.83,4.99,,,,GB,legacy-base,,,,,,,,,In-app
GPA.3385-8108-3655-38598,2026-01-16,1768548267,Charged,r9s,Vehicle Pack 2  (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,vehicles52_20,USD,9.35,0.00,9.35,Suva,,,FJ,legacy-base,,,,,,,,,In-app
GPA.3385-8108-3655-38598,2026-01-18,1768728976,Refund,r9s,Vehicle Pack 2  (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,vehicles52_20,USD,9.35,0.00,-9.35,Suva,,,FJ,legacy-base,,,,,,,,,In-app
GPA.3333-0995-8333-00900,2026-01-20,1768933512,Charged,xcover4s,Unlock Chapter 2 (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,chapter2_20,USD,1.60,0.32,1.92,Puke,,4445,AL,legacy-base,,,,,,,,,In-app
GPA.3342-2051-2689-19613,2026-01-20,1768939658,Charged,a21s,Vehicle Pack 1 (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,vehicles5_20,EUR,7.78,1.71,9.49,,,,IT,legacy-base,,,,,,,,,In-app
GPA.3375-0665-7986-29880,2026-01-21,1768971691,Charged,TECNO-CK6n,Get 50000 Coins (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,coins50k_20,PKR,"1,000.00",0.00,"1,000.00",,,,PK,legacy-base,,,,,,,,,In-app
GPA.3369-8472-4813-29222,2026-01-21,1768971728,Charged,TECNO-CK6n,Get 100000 Coins (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,coins100k_20,PKR,"1,100.00",0.00,"1,100.00",,,,PK,legacy-base,,,,,,,,,In-app
GPA.3364-2369-4665-55645,2026-01-22,1769110821,Charged,V2310,VIP Vehicle Pack (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,vehicles10_20,IDR,"189,000.00","20,790.00","209,790.00",,,,ID,legacy-base,,,,,,,,,In-app
GPA.3324-8129-4683-07129,2026-01-25,1769352240,Charged,scout,Remove Ads (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,removeads_20,INR,245.76,44.24,290.00,Tiruppur,Tamil Nadu,641654,IN,legacy-base,,,,,,,,,In-app
GPA.3331-5264-6821-74372,2026-01-27,1769512119,Charged,a16,Vehicle Pack 1 (Car Driving School : Car Games),com.SGS.DrivingSchoolGames.RealCarParkingSimulator,One-time product,vehicles5_20,TZS,"21,000.00",0.00,"21,000.00",,,,TZ,legacy-base,,,,,,,,,In-app
GPA.3324-0072-0374-01137,2026-01-29,1769692458,Charged,HNWDY-M,Unlock Customizations (Cargo Delivery Truck Games 3D),com.DutyToCraftGames.OffroadMulti.CargoTruck,One-time product,unlock_custm_9,ZAR,51.30,7.69,58.99,Cape Town,,7441,ZA,legacy-base,,,,,,,,,In-app
